,rmse,loss,params.iterationCount,params.traitCount,train_time,status,geo_mean
6,1.22925,1.2307400896338585,20.0,7.0,16.546311140060425,ok,0.2920763350034163
9,1.2245,1.2309218667266777,30.0,5.0,24.305907726287842,ok,0.29202324704159194
10,1.23175,1.2312810050344902,10.0,8.0,7.984883069992065,ok,0.2919183891371797
8,1.22525,1.2313158057213427,20.0,8.0,15.157986879348755,ok,0.2919082303535002
4,1.22175,1.2314849827892551,30.0,7.0,24.774474620819092,ok,0.2918588503520892
1,1.22775,1.2319369239462892,10.0,9.0,8.07231855392456,ok,0.29172697712728396
2,1.22775,1.2319369239462892,10.0,9.0,9.157379150390625,ok,0.29172697712728396
13,1.22775,1.2319369239462892,10.0,9.0,7.881049156188965,ok,0.29172697712728396
7,1.21975,1.232629884549946,30.0,9.0,23.61709237098694,ok,0.29152489185176483
5,1.2165,1.2339780327937313,30.0,11.0,25.668123960494995,ok,0.291132137885566
12,1.22325,1.2346845275547793,10.0,12.0,8.471490621566772,ok,0.29092652719536716
0,1.2185,1.236368701269943,30.0,13.0,24.363902807235718,ok,0.2904369687516693
11,1.2185,1.236368701269943,30.0,13.0,28.72651743888855,ok,0.2904369687516693
14,1.21875,1.2371649246715328,20.0,14.0,19.27745008468628,ok,0.29020580808044283
15,1.21875,1.2371649246715328,20.0,14.0,17.932824850082397,ok,0.29020580808044283
3,1.22475,1.2372200584370112,10.0,14.0,8.637125253677368,ok,0.2901898083825455
