rmse,loss,tr_loss,params.ItemTraitFeatureWeightPriorVariance,params.ItemTraitVariance,params.UserTraitFeatureWeightPriorVariance,params.UserTraitVariance,params.iterationCount,params.traitCount,params.numLevels,train_time,status,geo_mean,geo_mean_tr,dataset_size
1.943,1.856424261643618,1.90292337674865,0.25,0.5,1.75,0.0,10.0,30.0,5,158.12887716293335,ok,0.15623027135842038,0.14913201229308665,100000
1.9008,1.8640530689792405,1.912736583019582,0.75,0.25,2.0,1.0,10.0,22.0,5,148.3237988948822,ok,0.1550429553790101,0.14767570629713894,100000
1.8976,1.8717383977104647,1.918724058326157,0.5,0.0,1.5,0.0,10.0,16.0,5,141.565758228302,ok,0.15385596634231732,0.1467941434538387,100000
1.90132,1.87646893752113,1.921020838065241,0.75,0.25,2.0,0.25,10.0,13.0,5,136.97483611106873,ok,0.15312986335203865,0.14645737652710744,100000
1.8932,1.8788446875796039,1.9336608864133926,0.5,1.0,1.5,0.0,15.0,23.0,5,224.83162021636963,ok,0.15276649687509944,0.14461779887459958,100000
1.9324,1.8797411150343342,1.9453957345708055,0.0,0.25,1.0,0.75,25.0,29.0,5,391.1183624267578,ok,0.15262961415501816,0.1429306495454756,100000
1.88968,1.8891002032960702,1.9542277205426406,0.0,1.0,0.75,1.0,25.0,23.0,5,373.6613154411316,ok,0.15120780392681007,0.1416738462578746,100000
1.88124,1.8915851008942783,1.949418371683917,0.0,0.0,1.75,0.5,20.0,20.0,5,294.20089316368103,ok,0.1508325344641937,0.14235684628491344,100000
1.88104,1.8959056970926864,1.9466243451276826,1.0,0.0,1.75,0.25,15.0,14.0,5,208.06538462638855,ok,0.1501822538008677,0.1427551512721344,100000
1.87544,1.8965750439718636,1.9537695989928883,0.25,0.25,1.0,0.5,20.0,18.0,5,288.32812547683716,ok,0.15008176341319385,0.14173876496907653,100000
